Review,Date posted,Reference url
"New one on Drive looks..interesting.Toyota's new design language is taking shape. Odd shapes! The rear tail-lights and overall shaping takes on new VW Tiguan looks, the front is a mashup of current RAV4, Hyundai Tucson and a bit of the Ford Echo.Interior looks bland apart from interesting shape of the – cupholder! That's about all I can say. Though the detailing around the air vents on the dash looks nice-ish and the 'pockets' in the lower dash areas look original and useful.",2018-Mar-28,whrl.pl/Re7BHK
Looks pretty good aside from the wheelarch treatment that looks way too Jeep Compass...Looks a lot more premium and substantial than the previous model.  Pity no stripper spec manual without all the safety stuff...,2018-Mar-28,whrl.pl/Re7BJK
"I saw the pics and was really, really surprised at the direction. Kind of reminds me of a mini FJ cruiser?I think it will sell extremely well to those who want a JEEP for the sake of a JEEP but can’t afford to run them or take the risk on the brand.",2018-Mar-28,whrl.pl/Re7BRz
"Looks great, the Hybrid of this is the only car on the horizon that I would consider trading in my car for. Will check it out.",2018-Mar-28,whrl.pl/Re7B60
"Redair writes...Looks great, the Hybrid of this is the only car on the horizon that I would consider trading in my car for. Will check it out.I've been looking at the Lexus NX hybrid, but may hold off for the Rav 4. The 2.5 litre hybrid engine is great. I currently have the same engine in my Camry Hybrid.I wish Toyota would just release the Kluger Hybrid as I can't stomach the 110K for the Lexus RX 450 and would prefer a big SUV. The 450H gets under 9l/100k which is amazing for its weight!",2018-Mar-29,whrl.pl/Re7FeL
"tannins writes...The 2.5 litre hybrid engine is great. I currently have the same engine in my Camry Hybrid.Unless your Camry Hybrid is a new 70 series, although the engines are both 2.5 litre, they are completely different. The 50 series Camry Hybrid runs a 2AR-FXE. The 70 series Camry Hybrid, and this upcoming RAV4 Hybrid, utilise a A25A-FXS, along with an upgraded hybrid system.",2018-Mar-30,whrl.pl/Re7FkM
It won't happen but I'd like a basic spec hybrid with a moonroof and vented seats.,2018-Apr-2,whrl.pl/Re7MOL
Anyone heard when it's going on sale in Australia?,2018-Jul-4,whrl.pl/RfbqXM
individualist writes...Anyone heard when it's going on sale in Australia?Early next year.,2018-Jul-4,whrl.pl/Rfbrrw
If only they re-introduced a N/A V6 to the RAV4 lineup.. Like the 2018 Camry.,2018-Jul-4,whrl.pl/Rfbrty
Any idea about the pricing????,2018-Jul-23,whrl.pl/Rfcbzq
Kilavan writes...Any idea about the pricing????Also keen to know pricing – any thoughts/guesses?,2018-Oct-4,whrl.pl/RfeXJP
lazza writes...Also keen to know pricing – any thoughts/guessesLook at the full price of current RAV4 and competitors .. there is your price .But you haven't asked about the spec you want,2018-Oct-5,whrl.pl/RfeX1r
The 2019 Toyota Rav4 is similar to the 2019 Lexus UX. both being released early 2019.,2018-Oct-5,whrl.pl/RfeYd6
"toyota seem to be banging out increasingly good looking and 'decent' performing cars but still at user friendly prices.  I was going to be all over a hybrid camry, but will wait and see how the rav4hydbrid ends up sitting price and performance wise.",2018-Oct-5,whrl.pl/RfeYd7
richardJF writes...But you haven't asked about the spec you wantGood point – was keen to know more about the hybrid version. There wasn’t a direct comparison that I was aware of.,2018-Oct-5,whrl.pl/RfeYfg
"https://www.youtube.com/watch?v=_yNvcZ03BQQHere's a pre-embargo review, which is more of a first look at the car since they are not allowed to talk about too many specifics until the end of November. The car seems decent but nothing too outstanding at the moment. The hybrid will likely be the most interesting.",2018-Oct-5,whrl.pl/RfeYrE
Square wheel arches so wrong- few car makers are going this way!,2018-Oct-5,whrl.pl/RfeY3E
Rakddon writes...The 2019 Toyota Rav4 is similar to the 2019 Lexus UX. both being released early 2019.Except the UX is smaller and based on the C-HR.,2018-Oct-5,whrl.pl/RfeY4P
lazza writes...here wasn’t a direct comparison that I was aware of.It replaced the diesel RAV4. So I guess that's the comparison on price,2018-Oct-5,whrl.pl/RfeY7q
XDDX writes...The hybrid will likely be the most interesting.exactly – wait for the hybrid or get the CX5 now?,2018-Oct-5,whrl.pl/RfeZWn
"After owning a CX5, my two cents is, if you care about reliability, wait a few months for the Rav.",2018-Oct-5,whrl.pl/RfeZXo
"Haylonix writes...After owning a CX5, my two cents is, if you care about reliability, wait a few months for the Rav.really? what's wrong with it? which model do you have?",2018-Oct-5,whrl.pl/RfeZ1F
