,lemmatized_review
433,"['agree.', 'second', 'row', 'room', 'seems', 'fine', 'me.', ""i'm"", '6\'1"",', 'set', 'front', 'passenger', 'driver', 'seat', 'wanted', 'jumped', 'back.', 'found', 'second', 'row', 'room', 'good.', 'although,', 'long', 'time', 'since', ""i've"", 'sat', 'crv', 'maybe', 'extra', 'leg', 'room', 'noticeable', 'compared', 'rav4.where', 'found', 'issue', 'rav4', 'front', 'passenger', 'seat', 'seems', 'set', 'quite', 'high.', 'sunroof', 'cruiser', 'found', 'headroom', 'problem.']"
435,"['much', 'much', 'room', 'rear', 'passenger', 'rearward', 'facing', 'baby', 'seat', 'push', 'front', 'seat', 'forward', 'all.', 'crv', 'best', 'class', 'space', 'baby', 'seat,', 'found', 'tiguan', 'small', 'xtrail', 'acceptable.', 'going', 'test', 'drive', 'rav', '4', 'week', 'fit', 'baby', 'seat', 'time', 'check', 'out.']"
436,"['jrcd1', 'writes...where', 'found', 'issue', 'rav4', 'front', 'passenger', 'seat', 'seems', 'set', 'quite', 'high.', 'sunroof', 'cruiser', 'found', 'headroom', 'problem.was', 'height', 'pump', 'passenger', 'drivers?i', 'felt', 'little', 'squashed', 'sitting', 'high', 'showed', 'driver', 'seat']"
438,"['demegod', 'writes...care', 'tell', 'u', 'electric', 'range', 'then?a', 'prius', 'hybrid', '(nimh', 'models)', 'around', '1km', 'range', 'ev', 'mode.', 'rav4', 'using', 'similar', 'size', 'battery/motor,', 'expect', 'closer', '1km', '30km.']"
439,"['amg', 'writes...the', 'second', 'row', 'feel', 'bit', 'small', 'compare', 'crv', ',', 'hopefully', 'honda', 'bring', 'crv', 'hybrid', 'australia', 'sooni', 'impressed', 'honda', 'crv', '2019', 'design', 'base', 'model', 'cheaper', 'rav4.base', 'honda', 'model', 'come', 'turbo', '1.5', 'engine', 'without', 'advanced', 'safety', 'features.does', 'anyone', 'thought', 'honda', 'v', 'rav4', 'base', 'model', 'comparison?']"
442,"['punchcard', 'writes...a', 'prius', 'hybrid', '(nimh', 'models)', 'around', '1km', 'range', 'ev', 'mode.', 'rav4', 'using', 'similar', 'size', 'battery/motor,', 'expect', 'closer', '1km', '30km.i', 'read', 'u', 'site', 'awd', 'prius', 'tiny', '7hp', 'rear', 'motor', 'awd', 'rav', '~50hp', 'rear', 'motor.', 'thought', 'battery', 'bit', 'bigger', 'prius', 'drive', 'bigger', 'motors.', 'maybe', 'battery', 'similar', 'camry', 'hv,', 'maybe', 'bigger', 'rav', 'awd.', 'quick', 'search', 'find', 'info.']"
445,"['aesthetics1210', 'writes...going', 'test', 'drive', 'rav', '4', 'week', 'fit', 'baby', 'seat', 'time', 'check', 'out.do', 'take', 'baby', 'seat', 'you?also', 'wonder', ""they'll"", 'allow', '""weekend""', 'test', 'drive', 'take', 'home', 'couple', 'days.']"
447,"['atomic', 'rush', 'colour', '2.5l', 'cruiser', 'hybrid', '2wd', 'auto', 'rav', '442.5k.', 'include', 'mats,', 'weatherhshield', 'set', 'cargo', 'saver', 'mat,scuff', 'guard.originally', 'wanted', '42k.', 'sale', 'guy', 'offered', '43k.', 'settled', '42.5k.notice', 'lot', 'white/black', 'blue', 'avaliable', 'right', 'away.', 'red(atomic', 'rush)', 'maybe', 'wait.']"
448,"['#tonez', 'writes...got', 'atomic', 'rush', 'colour', '2.5l', 'cruiser', 'hybrid', '2wd', 'auto', 'rav', '442.5k.', 'include', 'mats,', 'weatherhshield', 'set', 'cargo', 'saver', 'mat,scuff', 'guard.originally', 'wanted', '42k.', 'sale', 'guy', 'offered', '43k.', 'settled', '42.5k.notice', 'lot', 'white/black', 'blue', 'avaliable', 'right', 'away.', 'red(atomic', 'rush)', 'maybe', 'wait.42.5', 'k', 'driveaway?', 'that’s', 'good', 'price', ',', 'please', 'share', 'dealer', 'details?', 'thanks']"
452,"['gamilon', 'writes...4k', 'rrp?', ""that's"", 'amazing.', 'well', 'done.', 'could', 'squeeze', '$1k', 'set', 'floor', 'mat', 'hybrid', 'gx,', 'even', 'walking', 'away.same', ',', '1k', 'discount', 'max', ',i’m', 'victoria,', 'look', '42k', 'driveway', 'price', 'new', 'south', 'wale', ',', 'wonder', 'melbourne', 'dealer', 'match', 'price', ',', 'otherwise', 'it’s', 'worth', 'travel', 'sydney', '4000k']"
